éÌóﬁ,ïù,çÇÇ≥,Çwç¿ïW,Çxç¿ïW,ï™äÑêîÇw,ï™äÑêîY
1,2300,25,1900,695,88,1
1,50,50,1000,620,2,2
1,50,100,1250,570,2,4
1,25,25,1325,645,1,1
1,50,100,1500,570,2,4
1,250,200,1480,150,12,8
1,50,100,1680,450,2,4
1,350,200,2080,50,12,8
1,50,75,1850,595,2,3
1,250,150,2300,520,8,6
1,300,50,2700,40,12,2
1,25,75,2575,595,1,3
1,100,125,3050,545,4,6
1,50,100,3200,570,2,4
1,50,75,3300,595,2,3
1,50,50,3400,620,2,2
1,50,25,3500,645,2,1
1,25,25,4125,645,1,1
1,25,50,4175,620,1,2
0,5000,500,9200,500,200,20
2,200,75,4400,645,8,3
2,775,100,4975,100,31,4
2,400,325,5000,645,16,13
2,50,25,5475,200,2,1
2,50,50,5575,190,2,2
2,50,275,5575,605,2,11
2,50,200,5750,200,2,8
2,150,25,5750,695,6,1
2,150,75,6050,645,6,3
2,300,285,6500,435,12,11
2,800,25,6600,25,28,1
2,100,25,5900,375,4,1
2,100,25,6100,175,6,1
2,50,225,6850,495,2,9
2,200,275,7500,275,8,11
2,250,25,7450,695,8,1
8,50,50,7500,620,1,1
2,1000,200,8600,100,40,8
2,150,75,7850,685,6,3
2,300,75,8600,685,16,3
2,600,25,9900,695,28,1
2,300,275,9800,275,12,11
7,50,50,3900,620,2,2
2,200,325,10700,445,8,13
2,50,50,10450,620,2,2
2,75,50,10175,450,2,2
2,100,25,10450,200,4,1
2,500,25,10500,25,20,1
2,50,375,10950,425,2,15
6,30,30,10850,94,1,1
2,50,25,6150,415,2,1
2,50,50,4400,545,2,2
